AusgangsID,Ausgangsdatum,BestellID,Artikelnummer,VerbrauchteMenge,LagerbestandVor,LagerbestandNach,Bemerkungen
1,2024-01-20,1,SH-BR-M820,20,200,180,Normale Abnahme
2,2024-01-25,2,CO-RE-RACE,50,500,450,Verbrauch schneller als geplant
3,2024-01-28,3,SI-SA-FLITE,15,150,135,Reguläre Entnahme
4,2024-02-10,4,SH-CN-HG601,30,300,270,Reguläre Entnahme
5,2024-02-12,6,CO-TU-PREM,100,600,500,Leicht erhöhter Verbrauch
6,2024-02-20,7,SR-FC-GX1,15,250,235,Planabweichung
7,2024-03-08,10,SI-SA-NOVUS,18,140,122,Normale Abnahme
8,2024-03-15,11,CO-RE-CROSS,30,220,190,Zwischenlagerung
9,2024-03-20,12,SH-RD-M8100,25,180,155,Normale Entnahme
10,2024-03-28,14,MA-RT-MDR-P,20,130,110,Unregelmäßiger Abruf
11,2024-04-05,15,SI-GR-EPICA,40,90,50,Höherer Verbrauch
12,2024-04-18,16,CO-TU-S42,70,400,330,Verbrauch über dem Durchschnitt
13,2024-04-25,17,SH-HB-M820,10,120,110,Planabweichung
14,2024-05-10,21,CO-RE-SPEED,35,210,175,Erhöhtes Abgangsvolumen
15,2024-05-17,23,SR-CS-PG1230,40,160,120,Überschreitung Soll-Menge
16,2024-05-25,24,MA-RT-MDR-C,30,100,70,Ungewöhnlich hoher Abruf
17,2024-06-05,26,CO-TU-LIGHT,90,450,360,Regulärer Abruf
18,2024-06-15,29,MA-BL-MT5,20,140,120,Planabweichung
19,2024-06-22,31,CO-RE-ATTACK,30,180,150,Erhöhter Abruf
20,2024-07-05,33,SR-RD-GX1,20,200,180,Normale Entnahme
21,2024-07-12,36,CO-TU-RACE,80,500,420,Plötzlicher Verbrauchssprung
22,2024-07-19,38,SR-BB-GXP,15,130,115,Reguläre Entnahme
23,2024-07-26,40,SI-KI-NEPAL,20,190,170,Planabweichung
24,2024-08-02,41,CO-RE-TERRA,40,210,170,Leichter Überschuss
25,2024-08-09,42,SH-RD-M6100,30,160,130,Verbrauch im normalen Rahmen
26,2024-08-16,44,MA-RT-MDR-C,18,110,92,Ungeplante Entnahme
27,2024-08-23,46,CO-TU-MTB,120,800,680,Außergewöhnlich hoher Verbrauch
28,2024-09-01,47,SH-HB-M7110,25,150,125,Normale Abnahme
29,2024-09-08,49,MA-BL-MT4,30,220,190,Reguläre Entnahme
30,2024-09-15,50,SI-KI-SLR,20,130,110,Erhöhte Nachfrage
31,2024-09-22,52,SH-RD-M5100,40,180,140,Planabweichung
32,2024-09-29,55,SI-GR-NEOPRE,35,100,65,Leichte Abweichung
33,2024-10-06,57,SH-HB-M6110,30,140,110,Verbrauch über Soll
34,2024-10-13,58,SR-BB-DUB-TR,15,110,95,Reguläre Entnahme
35,2024-10-20,60,SI-KI-NOVUS,18,160,142,Planabweichung
36,2024-10-27,62,SH-RD-M4120,50,210,160,Leichter Verbrauchssprung
37,2024-11-03,64,MA-RT-CL,25,120,95,Normale Entnahme
38,2024-11-10,66,CO-TU-CITY,80,400,320,Deutlich erhöhter Abruf
39,2024-11-17,67,SH-FH-M6110,30,150,120,Plötzlicher Abruf
40,2024-11-24,68,SR-FC-SX1,22,140,118,Teilweise Nachbestellung erforderlich
